Average AQI,City
101.8333333,Anshan
124.8333333,Anyang
146.75,Baoding
89.25,Baoji
91.83333333,Baotou
56.75,Beihai
121.5,Beijing
84.58333333,Benxi
110.6666667,Binzhou
105.4166667,Cangzhou
67.83333333,Canton
100.9166667,Changchun
77.83333333,Changde
86.83333333,Changsha
83.25,Changshu
97.41666667,Changzhi
93.58333333,Changzhou
71.5,Chaozhou
84.33333333,Chengde
99.66666667,Chengdu
73.5,Chifeng
80.5,Chongqing
87.16666667,Dalian
72.5,Dandong
68.08333333,Daqing
78.58333333,Datong
85.41666667,Deyang
141.0833333,Dezhou
70,Dongguan
120.25,Dongying
64.66666667,Foshan
90,Fushun
79.08333333,Fuyang
55.58333333,Fuzhou
72,Guilin
59.58333333,Guiyang
42.83333333,Haikou
86.66666667,Haimen
126.75,Handan
87.33333333,Hangzhou
100.5,Harbin
91.16666667,Hefei
139.5,Hengshui
57.16666667,Heyuan
130,Heze
86.25,Hohhot
95.16666667,Huaian
54.16666667,Huizhou
91,Huludao
93.66666667,Huzhou
58.5,Jiangmen
97.08333333,Jiangyin
94.91666667,Jiaonan
87.33333333,Jiaozhou
124.0833333,Jiaozuo
90.83333333,Jiaxing
85.33333333,Jiayuguan
97,Jilin
85.08333333,Jimo
128.4166667,Jinan
84.75,Jinchang
101.8333333,Jingzhou
84,Jinhua
117.1666667,Jining
85.91666667,Jintan
95.16666667,Jinzhou
74.41666667,Jiujiang
82.41666667,Jurong
106.9166667,Kaifeng
63.41666667,Karamay
101.25,Korla
53.66666667,Kunming
89.16666667,Kunshan
120.5,Laiwu
90.91666667,Laixi
89.16666667,Laizhou
123.25,Langfang
88.33333333,Lanzhou
64.16666667,Lhasa
91.16666667,Lianyungang
133.9166667,Liaocheng
81.5,Lin'an
85.5,Linfen
120.75,Linyi
64.75,Lishui
73.33333333,Liuzhou
89.33333333,Liyang
104.9166667,Luoyang
86,Luzhou
87,Ma'anshan
53.25,Maoming
54.5,Meizhou
73.41666667,Mianyang
76.16666667,Mudanjiang
68.75,Nanchang
85,Nanchong
95.41666667,Nanjing
64.33333333,Nanning
90.66666667,Nantong
78.75,Ningbo
75.41666667,Ordos City
90.66666667,Panjin
59.66666667,Panzhihua
81.66666667,Penglai
123.9166667,Pingdingshan
90.75,Pingdu
86,Qingdao
56.5,Qingyuan
80.58333333,Qinhuangdao
66.66666667,Qiqihar
52.25,Quanzhou
56.25,Qujing
70.91666667,Quzhou
96.16666667,Rizhao
72.66666667,Rongcheng
72.41666667,Rushan
109.5833333,Sanmenxia
39.58333333,Sanya
88.5,Shanghai
60,Shantou
54.75,Shanwei
57.25,Shaoguan
84.58333333,Shaoxing
108.0833333,Shenyang
53.08333333,Shenzhen
123.6666667,Shijiazhuang
99.66666667,Shizuishan
126.25,Shouguang
94.16666667,Suqian
91.25,Suzhou
107.5,Tai'an
86.66666667,Taicang
92.91666667,Taiyuan
71.66666667,Taizhou
121.6666667,Tangshan
103,Tianjin
90.08333333,Tongchuan
105.0833333,Urumqi
88.16666667,Wafangdian
114.9166667,Weifang
72.91666667,Weihai
93.91666667,Weinan
70.33333333,Wendeng
72.25,Wenzhou
103.4166667,Wuhan
81,Wuhu
88.91666667,Wujiang
94.58333333,Wuxi
49.75,Xiamen
96.41666667,Xi'an
82.66666667,Xiangtan
94.16666667,Xianyang
136.5,Xingtai
82.83333333,Xining
99,Xuzhou
85.5,Yan'an
88.83333333,Yancheng
57.91666667,Yangjiang
90.08333333,Yangquan
92.33333333,Yangzhou
78.33333333,Yantai
83.16666667,Yibin
98,Yichang
88.16666667,Yinchuan
96.66666667,Yingkou
84.5,Yiwu
95.41666667,Yixing
80.66666667,Yueyang
54.25,Yunfu
44,Yuxi
125.1666667,Zaozhuang
96.91666667,Zhangjiagang
75.16666667,Zhangjiakou
117.75,Zhangqiu
53.5,Zhanjiang
65.66666667,Zhaoqing
89.25,Zhaoyuan
134.5833333,Zhengzhou
96.25,Zhenjiang
56.83333333,Zhongshan
65.33333333,Zhoushan
56.25,Zhuhai
80.58333333,Zhuzhou
125.8333333,Zibo
101,Zigong
64.83333333,Zunyi
