City,Month,AQI,Group,Index
Quanzhou,1,64,Low,1
Quanzhou,2,53,Low,1
Quanzhou,3,54,Low,1
Quanzhou,4,59,Low,1
Quanzhou,5,61,Low,1
Quanzhou,6,54,Low,1
Quanzhou,7,49,Low,1
Quanzhou,8,43,Low,1
Quanzhou,9,51,Low,1
Quanzhou,10,52,Low,1
Quanzhou,11,42,Low,1
Quanzhou,12,45,Low,1
Xiamen,1,69,Low,2
Xiamen,2,55,Low,2
Xiamen,3,51,Low,2
Xiamen,4,50,Low,2
Xiamen,5,51,Low,2
Xiamen,6,40,Low,2
Xiamen,7,41,Low,2
Xiamen,8,42,Low,2
Xiamen,9,48,Low,2
Xiamen,10,49,Low,2
Xiamen,11,48,Low,2
Xiamen,12,53,Low,2
Yuxi,1,49,Low,3
Yuxi,2,48,Low,3
Yuxi,3,55,Low,3
Yuxi,4,47,Low,3
Yuxi,5,48,Low,3
Yuxi,6,35,Low,3
Yuxi,7,44,Low,3
Yuxi,8,35,Low,3
Yuxi,9,35,Low,3
Yuxi,10,45,Low,3
Yuxi,11,42,Low,3
Yuxi,12,45,Low,3
Haikou,1,58,Low,4
Haikou,2,57,Low,4
Haikou,3,34,Low,4
Haikou,4,40,Low,4
Haikou,5,31,Low,4
Haikou,6,27,Low,4
Haikou,7,34,Low,4
Haikou,8,40,Low,4
Haikou,9,40,Low,4
Haikou,10,66,Low,4
Haikou,11,42,Low,4
Haikou,12,45,Low,4
Sanya,1,60,Low,5
Sanya,2,50,Low,5
Sanya,3,37,Low,5
Sanya,4,43,Low,5
Sanya,5,33,Low,5
Sanya,6,26,Low,5
Sanya,7,35,Low,5
Sanya,8,28,Low,5
Sanya,9,32,Low,5
Sanya,10,54,Low,5
Sanya,11,35,Low,5
Sanya,12,42,Low,5
Hangzhou,1,118,Middle,1
Hangzhou,2,88,Middle,1
Hangzhou,3,76,Middle,1
Hangzhou,4,82,Middle,1
Hangzhou,5,94,Middle,1
Hangzhou,6,68,Middle,1
Hangzhou,7,64,Middle,1
Hangzhou,8,81,Middle,1
Hangzhou,9,91,Middle,1
Hangzhou,10,83,Middle,1
Hangzhou,11,80,Middle,1
Hangzhou,12,123,Middle,1
Dalian,1,79,Middle,2
Dalian,2,98,Middle,2
Dalian,3,84,Middle,2
Dalian,4,79,Middle,2
Dalian,5,84,Middle,2
Dalian,6,77,Middle,2
Dalian,7,73,Middle,2
Dalian,8,88,Middle,2
Dalian,9,80,Middle,2
Dalian,10,68,Middle,2
Dalian,11,123,Middle,2
Dalian,12,113,Middle,2
Ma'anshan,1,136,Middle,3
Ma'anshan,2,97,Middle,3
Ma'anshan,3,75,Middle,3
Ma'anshan,4,73,Middle,3
Ma'anshan,5,76,Middle,3
Ma'anshan,6,71,Middle,3
Ma'anshan,7,66,Middle,3
Ma'anshan,8,75,Middle,3
Ma'anshan,9,71,Middle,3
Ma'anshan,10,94,Middle,3
Ma'anshan,11,80,Middle,3
Ma'anshan,12,130,Middle,3
Jiaozhou,1,92,Middle,4
Jiaozhou,2,84,Middle,4
Jiaozhou,3,71,Middle,4
Jiaozhou,4,85,Middle,4
Jiaozhou,5,75,Middle,4
Jiaozhou,6,80,Middle,4
Jiaozhou,7,75,Middle,4
Jiaozhou,8,78,Middle,4
Jiaozhou,9,82,Middle,4
Jiaozhou,10,90,Middle,4
Jiaozhou,11,86,Middle,4
Jiaozhou,12,150,Middle,4
Changsha,1,150,Middle,5
Changsha,2,120,Middle,5
Changsha,3,75,Middle,5
Changsha,4,70,Middle,5
Changsha,5,84,Middle,5
Changsha,6,51,Middle,5
Changsha,7,64,Middle,5
Changsha,8,76,Middle,5
Changsha,9,86,Middle,5
Changsha,10,97,Middle,5
Changsha,11,63,Middle,5
Changsha,12,106,Middle,5
Baoding,1,236,High,1
Baoding,2,204,High,1
Baoding,3,157,High,1
Baoding,4,114,High,1
Baoding,5,108,High,1
Baoding,6,116,High,1
Baoding,7,112,High,1
Baoding,8,105,High,1
Baoding,9,91,High,1
Baoding,10,120,High,1
Baoding,11,140,High,1
Baoding,12,258,High,1
Dezhou,1,173,High,2
Dezhou,2,152,High,2
Dezhou,3,139,High,2
Dezhou,4,110,High,2
Dezhou,5,109,High,2
Dezhou,6,127,High,2
Dezhou,7,125,High,2
Dezhou,8,112,High,2
Dezhou,9,103,High,2
Dezhou,10,134,High,2
Dezhou,11,159,High,2
Dezhou,12,250,High,2
Hengshui,1,190,High,3
Hengshui,2,156,High,3
Hengshui,3,143,High,3
Hengshui,4,109,High,3
Hengshui,5,110,High,3
Hengshui,6,120,High,3
Hengshui,7,116,High,3
Hengshui,8,107,High,3
Hengshui,9,105,High,3
Hengshui,10,129,High,3
Hengshui,11,148,High,3
Hengshui,12,241,High,3
Xingtai,1,204,High,4
Xingtai,2,180,High,4
Xingtai,3,140,High,4
Xingtai,4,106,High,4
Xingtai,5,93,High,4
Xingtai,6,109,High,4
Xingtai,7,126,High,4
Xingtai,8,108,High,4
Xingtai,9,85,High,4
Xingtai,10,106,High,4
Xingtai,11,154,High,4
Xingtai,12,227,High,4
Zhengzhou,1,200,High,5
Zhengzhou,2,172,High,5
Zhengzhou,3,154,High,5
Zhengzhou,4,129,High,5
Zhengzhou,5,127,High,5
Zhengzhou,6,119,High,5
Zhengzhou,7,94,High,5
Zhengzhou,8,94,High,5
Zhengzhou,9,101,High,5
Zhengzhou,10,109,High,5
Zhengzhou,11,129,High,5
Zhengzhou,12,187,High,5
